smiles,ligand_id
COC(=O)O,000
COc1cc(cc(c1OC)OC)C(C(=O)N2CCCC[C@H]2C(=O)O[C@@H](CCCc3ccccc3)CCCc4cccnc4)(F)F,001
CC[C@H](C)[C@@H](C(=O)N[C@@H](CC(C)C)C(=O)O)NC(=O)[C@H](Cc1ccccc1)CC(=O)NO,002
CC(C)CN1c2c(c(n(n2)Cc3cccc4c3cccc4)c5ccncc5)C(=O)N(C1=O)C,003
c1ccc(cc1)[C@@H](C(=O)O)N,004
c1ccc(cc1)C[C@@H]([C@@H](C(=O)O)O)N,005
Cc1cccc(c1OCC(=O)N[C@@H](Cc2ccccc2)[C@@H](C(=O)N3CSC([C@H]3C(=O)N[C@H]4c5ccccc5C[C@H]4O)(C)C)O)C,006
c1ccc(cc1)C2(CCCC2)CN,007
c1ccc2c(c1)C[C@H](N(C2)C(=O)C[C@@H](Cc3ccccc3F)N)C(=O)N,008
CN(C)c1cccc(c1)CNC[C@H]([C@H](Cc2ccccc2)NC(=O)[C@@]3(CN(C(=O)N3)Cc4ccccc4)Cc5ccccc5)O,009
c1cc(ccc1C(=O)O[P@@](=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O)Cl,00A
CC1([C@H](NCS1)C(=O)O)C,00B
C([C@H](C(=O)O)N)S(=O)(=O)O,00C
C[C@H](C(C)(C)C)N,00D
C1COCCN1CC(=O)O,00E
C[C@H](C[P@](=O)([C@H](Cc1ccccc1)N)O)C(=O)O,00F
c1ccn(c1)CCOc2ccc3c(c2)cc[nH]3,00G
c1ccc(cc1)C[C@H](N)[P@@](=O)(CCC(=O)O)O,00H
[H]/N=C(\c1ccc(cc1)C[C@H](C(=O)N2CCCCC2)NC(=O)[C@H](CCC(=O)O)NS(=O)(=O)c3ccc4ccccc4c3)/N,00I
Cc1c(c2ccc(cc2o1)Oc3ccnc4c3ccc(c4)OCCN5CCOCC5)C(=O)NC,00J
c1ccc(cc1)C[C@@]2(CC[N@@]3CC[C@H](N3C2=O)C(=O)N[C@@H](CCCCN)[C@@H](C(=O)NC4CCCCC4)O)N,00K
[H]/N=C(\N)/NCCC[C@@H]([C@@H](C(=O)NCCc1ccccc1)O)NC(=O)[C@@H]2CCN3N2C(=O)[C@@](CC3)(Cc4ccccc4)N,00L
c1ccc(cc1)C[C@@H]([C@H](C(=O)O)O)N,00M
c1ccc(cc1)C[C@@]2(CC[N@@]3CC[C@H](N3C2=O)C(=O)N[C@@H](CCCNC(=N)N)[C@@H](c4nccs4)O)N,00N
c1ccc(cc1)C(c2ccccc2)[C@H](C(=O)O)N,00O
c1ccc(cc1)S(=O)(=O)CCN2C(=O)N3CC=C[C@H](N3C2=O)C(=O)NCC4CCC(CC4)N,00P
[H]/N=C(\N)/NCCC[C@@H]([C@@H](c1nc2ccccc2s1)O)NC(=O)[C@@H]3CCCN3C(=O)[C@@H](Cc4ccccc4)N,00Q
c1ccc(cc1)S(=O)(=O)CCN2C(=O)N3CC=C[C@H](N3C2=O)C(=O)NC4CCC(CC4)c5cnc([nH]5)N,00R
[H]/N=C(/c1ccc(cc1)CN)\N,00S
c1cc(c(cc1Cl)CN)CN,00T
c1ccc(cc1)C[C@@]2(CC[N@@]3CC[C@H](N3C2=O)C(=O)O)N,00U
C(CCN)C[C@@H]([C@@H](C(=O)O)O)N,00V
[H]/N=C(\N)/NCCC[C@@H]([C@@H](C(=O)O)O)N,00W
c1ccc2c(c1)C[C@H]([C@H]2N)O,00X
c1csc(n1)[C@H]([C@H](CCCNC(=N)N)N)O,00Y
c1ccc(cc1)CO,010
C(CCCN)CCC(=O)O,011
CN(C)c1cccc(c1)CNC[C@H]([C@H](Cc2ccccc2)NC(=O)[C@@H]3CN(C(=O)N3)Cc4cccc(c4)OC)O,012
c1c(scn1)COC(=O)O,013
c1c2c(cc(c1F)Cl)nc([nH]2)n3cc(cn3)C(=O)O,014
c1ccc(cc1)C[C@@H](C[C@@H]([C@H](Cc2ccccc2)N)O)N,015
Cc1cccc(c1OCC(=O)N[C@@H](Cc2ccccc2)[C@H](C(=O)N3CSC([C@H]3C(=O)N[C@H]4c5ccccc5C[C@H]4O)(C)C)O)C,016
CC(C)C[N@@](C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)c4ccc(cc4)N,017
c1cc(c(cc1C(F)(F)F)[N+](=O)[O-])NCc2ccsc2,018
CC(C)c1nc(cs1)CN(C)C(=O)O,019
CC(C)(CO[P@@](=O)(O)O[P@@](=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSCC(=O)c4ccc(cc4)Cl)O,01A
c1ccc(cc1)C[C@H]([C@@H](C(=O)O)O)N,01B
c1ccc2c(c1)c(c[nH]2)C[C@@H](C(=O)C(C(F)(F)F)(F)F)N,01C
C[C@@H]([C@@H](C(=O)NCc1ccc(cc1)I)O)NC(=O)[C@H](CC(=O)n2cccc2)NC(=O)[C@H](C(C)(C)C)NC(=O)CC(C)(C)C,01E
CCOC(=O)O,01F
C1COCCN1c2nc3c(n2[C@H]4[C@@H]([C@@H]([C@H](O4)CO[P@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)O)O)N=C(NC3=O)N,01G
C(CCNN)CN,01H
c1cc2c(cc(o2)C(=O)O)c3c1cc4cc(oc4c3)C(=O)O,01I
c1ccc(cc1)C(c2ccccc2)[C@H](C(=O)O)N[C@@H](N3CCOCC3)O,01J
CC(=O)N[C@H](CCCCNC(=O)CSCCNC(=O)CCNC(=O)[C@@H](C(C)(C)CO[P@@](=O)(O)O[P@](=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)OP(=O)(O)O)O)C(=O)N,01K
B([C@H](CCCOC)N)(O)O,01L
[H]/N=C(\N)/N1CCC[C@@H](C1)C(=O)O,01M
C1CCC(CC1)C[C@H](C(=O)O)NCC(=O)O,01N
[H]/N=C(\c1cc(cn1C)CN)/N,01O
COc1cc(ccc1N2CCOCC2)Nc3nccc(n3)Nc4cc5ccccc5nc4,01P
[H]/N=C(\c1ccc(n1C)CN)/N,01Q
c1cnccc1NCCN,01R
CCc1c(c(c(c(n1)CC(C)(C)C)CN)c2ccc(cc2)C)CC(=O)O,01T
c1cc2c(cc1N)sc(n2)N,01U
c1cc(c(cc1Cl)CN)Cl,01V
c1cc(c(cc1[N+](=O)[O-])[N+](=O)[O-])NCC[C@@H](C(=O)O)N,01W
c1cc(c(cc1Cl)CN)OCC(=O)O,01X
C1CCC(C1)OCC(=O)O,01Y
C1CCC(CC1)OCC(=O)O,01Z
c1cc(oc1)CNc2ccc(cc2[N+](=O)[O-])C(F)(F)F,020
C1CCC(C1)NCC(=O)O,021
Cc1cc(ccc1n2c(ccc2c3ccc(cc3)n4ccnc4)CCC(=O)O)C(=O)N,022
C[C@@H]([C@@H](CCCc1ccccc1)C(=O)N[C@H](C(=O)NC)C(C)(C)C)N(C=O)O,023
c1cc(cc(c1)NC2CCCCC2)c3c(c(c(s3)C(=O)O)OCC(=O)O)Br,024
c1cc(cc(c1)S(=O)(=O)O)C(F)(F)F,025
C1CN(CCN1)CCCN,026
